Word,Pronunciation
習慣,zaap gwaan
分成,fan sing
分得出,fan dak ceot
擴展,kwong zin
啞,aa ak
澄,cing dang
錯,co
操,cou
旦,daan daan
滴,dik dik
跌,dittit
嘟,dut dyut
否,fau pei
菲,fei fei
匪,fei fei
坊,fong fong
革,gaak gik
蛤,gap haa
乾,gon kin
膏,gou gou
卷,gyun kyun
歉,him hip
呵,ho ho
嚮,hoeng hoeng
降,hong gong
任,jam jam
殷,jan jin jan
咽,jin jin jit
焉,jin jin
夭,jiu jiu
嶼,jyu zeoi
予,jyu jyu
遠,jyun jyun
稽,kai kai
岌,kap ngap
亢,kong gong
豁,kut waak
揦,laa laa
拉,laai laap laai
戾,leoi lai
摙,lin lin
瞭,liu liu
潦,lou liu
咪,mai mai mai mi
靡,meimei
娩,min maan
磨,mo mo
哪,naa naa
搦,nik lik
娜,no naa
柏,paak baak
屏,ping bing (beng coll.)
泡,pou paau paau pok pou
塞,sak coi
肆,si sei
氏,si zi
成,sing seng
褪,tan teoi
拓,tok taap
熨,tong wat
滑,waat gwat
萎,wai wai
喳,zaa caa
抓,zaa zaau
拃,zaa zaa
濟,zai zai
枝,zi kei
召,ziu siu
阿媽係女人,{aa o} maa hai {neoi neoi} jan
阿毛,{aa o} mou
嗌,{aai jik}
握住,{aak ak} zyu
呃飯食,{aak ngaak aak ak} faan {sik zi}
拗,{aau aau}
拗痕,{aau aau} han
吧,{baa baa}
霸,{baa }
扮晒嘢,{baan baan} saai je
扮死狗,{baan baan} sei gau
啤,{be bi pe}
啤一啤,{be bi pe} jat {be bi pe}
啤住,{be bi pe} zyu
柄,{beng bing}
錶,{biu }
背,{bui bui}
撥,{but put}
差,{caa caai ci}
踩上門,{caai jaai} soeng mun*
參,{caam sam}
撐,{caang caang}
撐腰,{caang caang} jiu
摷,"{caau, ziu}"
妻,{cai cai}
親,{can can}
親耳,{can can} ji
曾,{cang zang}
籌,{cau cau*}
籌旗,{cau cau*} kei
籌募,{cau cau*} mou
邪,{ce je}
尺,{cek ce}
赤,{cek cik}
青,{ceng cing}
青絲,{ceng cing} si
娶,{ceoi cou ceoi}
遲,{ci }
匙,{ci si}
戚友,{cik cuk} jau
錢,{cin cin*}
錢財,{cin cin*} coi
稱,{cing can cing}
請,{cing ceng}
請便,{cing ceng} {bin pin}
秤,{cing ping}
切,{cit cai}
切開,{cit cai} hoi
搓,{co caai}
坐,{co zo}
搶,{coeng coeng}
長,{coeng zoeng}
長毛,{coeng zoeng} mou
創,{cong cong}
